procedure	provider	city	region	district	price_inr	rating	phone
CBC Test	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	350	4.5	+91-9391170217
CBC Test	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	410	3.2	+91-7316957052
CBC Test	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	400	4.4	+91-7523165392
CBC Test	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	430	4.6	+91-8978244671
CBC Test	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	420	4.8	+91-8102923396
CBC Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	400	3.9	+91-9733257819
CBC Test	HealthPlus Labs	Chennai	Chennai	T Nagar	280	3.1	+91-7746747930
CBC Test	Apollo Care Center	Chennai	Chennai	T Nagar	400	4.0	+91-9717792397
CBC Test	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	380	3.3	+91-8164137460
CBC Test	CityCare Hospital	Chennai	Chennai	Adyar	330	4.1	+91-9308719116
CBC Test	CityCare Hospital	Mumbai	Mumbai	Borivali	410	3.3	+91-9389242087
CBC Test	HealthPlus Labs	Mumbai	Mumbai	Andheri	400	3.3	+91-8243345382
CBC Test	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	400	4.2	+91-8996093227
CBC Test	MediCare Diagnostics	Mumbai	Mumbai	Dadar	390	4.9	+91-9097183000
CBC Test	WellLife Diagnostics	Mumbai	Mumbai	Dadar	350	3.8	+91-7216837653
Blood Sugar Test	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	240	4.8	+91-8102923396
Blood Sugar Test	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	230	3.2	+91-7316957052
Blood Sugar Test	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	230	4.6	+91-8978244671
Blood Sugar Test	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	190	4.4	+91-7523165392
Blood Sugar Test	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	200	3.6	+91-7509438221
Blood Sugar Test	Prime Health Hospital	Chennai	Chennai	Adyar	200	4.6	+91-8245546434
Blood Sugar Test	HealthPlus Labs	Chennai	Chennai	T Nagar	200	3.1	+91-7746747930
Blood Sugar Test	CityCare Hospital	Chennai	Chennai	Adyar	200	4.1	+91-9308719116
Blood Sugar Test	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	150	4.2	+91-9823657400
Blood Sugar Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	190	3.9	+91-9733257819
Blood Sugar Test	Apollo Care Center	Mumbai	Mumbai	Andheri	260	4.3	+91-9299799593
Blood Sugar Test	HealthPlus Labs	Mumbai	Mumbai	Andheri	230	3.3	+91-8243345382
Blood Sugar Test	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	230	4.2	+91-8996093227
Blood Sugar Test	Prime Health Hospital	Mumbai	Mumbai	Borivali	240	3.4	+91-8062617331
Blood Sugar Test	CityCare Hospital	Mumbai	Mumbai	Borivali	250	3.3	+91-9389242087
Lipid Profile	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	660	4.4	+91-7523165392
Lipid Profile	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	650	3.5	+91-9848510851
Lipid Profile	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	750	4.6	+91-8978244671
Lipid Profile	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	650	4.5	+91-9391170217
Lipid Profile	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	750	4.8	+91-8102923396
Lipid Profile	Sunrise Medical Center	Chennai	Chennai	T Nagar	550	3.9	+91-9733257819
Lipid Profile	CityCare Hospital	Chennai	Chennai	Adyar	540	4.1	+91-9308719116
Lipid Profile	HealthPlus Labs	Chennai	Chennai	T Nagar	550	3.1	+91-7746747930
Lipid Profile	Prime Health Hospital	Chennai	Chennai	Adyar	690	4.6	+91-8245546434
Lipid Profile	Apollo Care Center	Chennai	Chennai	T Nagar	740	4.0	+91-9717792397
Lipid Profile	Sunrise Medical Center	Mumbai	Mumbai	Andheri	830	3.4	+91-7105151347
Lipid Profile	WellLife Diagnostics	Mumbai	Mumbai	Dadar	780	3.8	+91-7216837653
Lipid Profile	MediCare Diagnostics	Mumbai	Mumbai	Dadar	710	4.9	+91-9097183000
Lipid Profile	Apollo Care Center	Mumbai	Mumbai	Andheri	810	4.3	+91-9299799593
Lipid Profile	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	940	4.2	+91-8996093227
Thyroid Profile	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	710	4.0	+91-8240320328
Thyroid Profile	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	560	4.4	+91-7523165392
Thyroid Profile	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	650	4.8	+91-8102923396
Thyroid Profile	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	640	4.5	+91-9391170217
Thyroid Profile	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	530	3.2	+91-7316957052
Thyroid Profile	CityCare Hospital	Chennai	Chennai	Adyar	560	4.1	+91-9308719116
Thyroid Profile	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	470	3.3	+91-8164137460
Thyroid Profile	Sunrise Medical Center	Chennai	Chennai	T Nagar	530	3.9	+91-9733257819
Thyroid Profile	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	670	4.9	+91-9802740512
Thyroid Profile	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	630	4.2	+91-9823657400
Thyroid Profile	Apollo Care Center	Mumbai	Mumbai	Andheri	560	4.3	+91-9299799593
Thyroid Profile	MediCare Diagnostics	Mumbai	Mumbai	Dadar	670	4.9	+91-9097183000
Thyroid Profile	HealthPlus Labs	Mumbai	Mumbai	Andheri	550	3.3	+91-8243345382
Thyroid Profile	WellLife Diagnostics	Mumbai	Mumbai	Dadar	740	3.8	+91-7216837653
Thyroid Profile	Sunrise Medical Center	Mumbai	Mumbai	Andheri	750	3.4	+91-7105151347
Liver Function Test	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	820	3.5	+91-9848510851
Liver Function Test	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	840	4.6	+91-8978244671
Liver Function Test	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	710	3.6	+91-7509438221
Liver Function Test	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	740	4.4	+91-7523165392
Liver Function Test	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	780	4.5	+91-9391170217
Liver Function Test	Apollo Care Center	Chennai	Chennai	T Nagar	830	4.0	+91-9717792397
Liver Function Test	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	620	3.3	+91-8164137460
Liver Function Test	HealthPlus Labs	Chennai	Chennai	T Nagar	620	3.1	+91-7746747930
Liver Function Test	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	610	4.9	+91-9802740512
Liver Function Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	710	3.9	+91-9733257819
Liver Function Test	Apollo Care Center	Mumbai	Mumbai	Andheri	930	4.3	+91-9299799593
Liver Function Test	CityCare Hospital	Mumbai	Mumbai	Borivali	1000	3.3	+91-9389242087
Liver Function Test	Prime Health Hospital	Mumbai	Mumbai	Borivali	1060	3.4	+91-8062617331
Liver Function Test	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	940	4.2	+91-8996093227
Liver Function Test	HealthPlus Labs	Mumbai	Mumbai	Andheri	820	3.3	+91-8243345382
Kidney Function Test	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	700	4.8	+91-8102923396
Kidney Function Test	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	680	3.2	+91-7316957052
Kidney Function Test	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	770	3.5	+91-9848510851
Kidney Function Test	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	760	3.6	+91-7509438221
Kidney Function Test	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	710	4.5	+91-9391170217
Kidney Function Test	Apollo Care Center	Chennai	Chennai	T Nagar	580	4.0	+91-9717792397
Kidney Function Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	860	3.9	+91-9733257819
Kidney Function Test	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	810	4.9	+91-9802740512
Kidney Function Test	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	850	4.2	+91-9823657400
Kidney Function Test	Prime Health Hospital	Chennai	Chennai	Adyar	840	4.6	+91-8245546434
Kidney Function Test	Apollo Care Center	Mumbai	Mumbai	Andheri	750	4.3	+91-9299799593
Kidney Function Test	HealthPlus Labs	Mumbai	Mumbai	Andheri	820	3.3	+91-8243345382
Kidney Function Test	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	700	4.2	+91-8996093227
Kidney Function Test	Prime Health Hospital	Mumbai	Mumbai	Borivali	810	3.4	+91-8062617331
Kidney Function Test	WellLife Diagnostics	Mumbai	Mumbai	Dadar	1030	3.8	+91-7216837653
Urine Routine Test	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	220	3.5	+91-9848510851
Urine Routine Test	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	160	3.6	+91-7509438221
Urine Routine Test	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	210	4.8	+91-8102923396
Urine Routine Test	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	200	3.2	+91-7316957052
Urine Routine Test	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	230	4.0	+91-8240320328
Urine Routine Test	CityCare Hospital	Chennai	Chennai	Adyar	150	4.1	+91-9308719116
Urine Routine Test	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	150	4.9	+91-9802740512
Urine Routine Test	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	210	3.3	+91-8164137460
Urine Routine Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	180	3.9	+91-9733257819
Urine Routine Test	HealthPlus Labs	Chennai	Chennai	T Nagar	220	3.1	+91-7746747930
Urine Routine Test	Apollo Care Center	Mumbai	Mumbai	Andheri	210	4.3	+91-9299799593
Urine Routine Test	WellLife Diagnostics	Mumbai	Mumbai	Dadar	230	3.8	+91-7216837653
Urine Routine Test	Sunrise Medical Center	Mumbai	Mumbai	Andheri	220	3.4	+91-7105151347
Urine Routine Test	MediCare Diagnostics	Mumbai	Mumbai	Dadar	260	4.9	+91-9097183000
Urine Routine Test	Prime Health Hospital	Mumbai	Mumbai	Borivali	190	3.4	+91-8062617331
ECG	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	510	4.4	+91-7523165392
ECG	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	500	4.0	+91-8240320328
ECG	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	430	4.5	+91-9391170217
ECG	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	470	3.2	+91-7316957052
ECG	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	410	4.6	+91-8978244671
ECG	Apollo Care Center	Chennai	Chennai	T Nagar	520	4.0	+91-9717792397
ECG	CityCare Hospital	Chennai	Chennai	Adyar	500	4.1	+91-9308719116
ECG	Sunrise Medical Center	Chennai	Chennai	T Nagar	480	3.9	+91-9733257819
ECG	HealthPlus Labs	Chennai	Chennai	T Nagar	550	3.1	+91-7746747930
